"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"FAM20C" 1.02441183628689e-262 -0.310715226857479 0.608 0.652 2.04882367257379e-259 "0" "FAM20C"
"ADGRV1" 4.87703278585181e-248 -0.419677990389593 0.752 0.774 9.75406557170362e-245 "0" "ADGRV1"
"HRH1" 6.97040988540592e-244 -0.525776866432054 0.753 0.761 1.39408197708118e-240 "0" "HRH1"
"NTM" 2.12576188894923e-242 -0.317934482976924 0.674 0.705 4.25152377789846e-239 "0" "NTM"
"PPP2R2B" 9.36645014525984e-240 -0.343150254125829 0.721 0.747 1.87329002905197e-236 "0" "PPP2R2B"
"NRP1" 3.43118096860867e-232 -0.516508070504664 0.746 0.781 6.86236193721733e-229 "0" "NRP1"
"SAMD4A" 4.46153925057178e-227 -0.5802117573013 0.835 0.836 8.92307850114355e-224 "0" "SAMD4A"
"DANT2" 1.33492311623441e-221 -0.281241860880739 0.836 0.801 2.66984623246881e-218 "0" "DANT2"
"WIPF3" 9.32891167888456e-221 -0.30424871697635 0.932 0.923 1.86578233577691e-217 "0" "WIPF3"
"C4orf19" 4.94161177811203e-202 0.389249523523513 0.596 0.584 9.88322355622406e-199 "0" "C4orf19"
"NCAM1" 5.22105374224892e-200 -0.260805262108793 0.706 0.725 1.04421074844978e-196 "0" "NCAM1"
"FAM20A" 4.08652397140181e-199 -0.320393034430269 0.472 0.528 8.17304794280361e-196 "0" "FAM20A"
"ARHGAP18" 2.30372432924179e-196 -0.361181927545337 0.636 0.682 4.60744865848358e-193 "0" "ARHGAP18"
"PDE7B" 4.12660068947697e-193 -0.326698034897853 0.78 0.751 8.25320137895394e-190 "0" "PDE7B"
"CD83" 3.82731184489621e-180 -0.785334408485123 0.911 0.909 7.65462368979241e-177 "0" "CD83"
"MX2" 1.51675477355803e-179 -0.291711975572446 0.694 0.712 3.03350954711606e-176 "0" "MX2"
"KCNAB1" 9.54712196327534e-174 -0.278895321707542 0.653 0.684 1.90942439265507e-170 "0" "KCNAB1"
"CADM1" 1.11636712331668e-172 -0.537301921684424 0.691 0.689 2.23273424663336e-169 "0" "CADM1"
"SELENOP" 3.46865608599273e-172 -0.457682382662999 0.46 0.504 6.93731217198547e-169 "0" "SELENOP"
"FCGR2A" 2.02168453295132e-171 -0.329615545384803 0.585 0.637 4.04336906590264e-168 "0" "FCGR2A"
"HS3ST2" 2.93764073717693e-169 -0.535951803842267 0.74 0.73 5.87528147435387e-166 "0" "HS3ST2"
"FARP1" 1.63378256348471e-167 -0.311566925924428 0.565 0.623 3.26756512696941e-164 "0" "FARP1"
"DUSP1" 2.64528059601154e-167 -0.332617534531194 0.764 0.761 5.29056119202308e-164 "0" "DUSP1"
"DOCK1" 1.96382223398958e-166 -0.406615205127278 0.69 0.706 3.92764446797916e-163 "0" "DOCK1"
"ACSL1" 1.16153812530251e-164 -0.457098880086433 0.505 0.552 2.32307625060502e-161 "0" "ACSL1"
"SLC11A1" 1.56488413773932e-163 -0.540389033940032 0.76 0.767 3.12976827547864e-160 "0" "SLC11A1"
"MITF" 6.50393980851586e-163 -0.499978902149669 0.798 0.802 1.30078796170317e-159 "0" "MITF"
"DAPK1" 8.38711452547495e-149 -0.50445278604583 0.7 0.687 1.67742290509499e-145 "0" "DAPK1"
"KCNMB2-AS1" 1.75557562797622e-148 0.340918916135484 0.744 0.77 3.51115125595243e-145 "0" "KCNMB2-AS1"
"CTNND2" 9.30696073384844e-144 -0.261582332476844 0.701 0.73 1.86139214676969e-140 "0" "CTNND2"
"RPS27A" 9.01045102401872e-131 -0.257892868522735 0.562 0.6 1.80209020480374e-127 "0" "RPS27A"
"MAFB" 2.77297541481235e-129 -0.453517121276625 0.698 0.697 5.5459508296247e-126 "0" "MAFB"
"ABCC3" 1.06203796562757e-128 -0.264107324274537 0.837 0.827 2.12407593125514e-125 "0" "ABCC3"
"ARID5B" 1.08564998787786e-126 -0.46405481633478 0.845 0.832 2.17129997575573e-123 "0" "ARID5B"
"HSPA1A" 3.37112274923456e-123 -0.252079322285777 0.423 0.479 6.74224549846913e-120 "0" "HSPA1A"
"SP140" 2.46256333449149e-122 0.254027384102902 0.599 0.583 4.92512666898298e-119 "0" "SP140"
"LGMN" 3.33673004926409e-118 -0.35586728170098 0.452 0.505 6.67346009852819e-115 "0" "LGMN"
"PCDH9" 1.01076656210078e-115 -0.491888994493631 0.831 0.835 2.02153312420157e-112 "0" "PCDH9"
"UBC" 3.50627689000078e-112 -0.263524291353188 0.623 0.656 7.01255378000156e-109 "0" "UBC"
"RPL19" 2.22379086578304e-111 -0.484837417409313 0.508 0.539 4.44758173156609e-108 "0" "RPL19"
"FRMD4B" 8.98488136063361e-108 -0.418959830311234 0.932 0.928 1.79697627212672e-104 "0" "FRMD4B"
"SPP1" 8.40514736893507e-105 -0.551033624061877 0.863 0.868 1.68102947378701e-101 "0" "SPP1"
"HSP90AA1" 1.40526853123346e-99 -0.511937964244167 0.715 0.728 2.81053706246692e-96 "0" "HSP90AA1"
"VAV3" 8.14181743451911e-97 -0.384989327380372 0.665 0.663 1.62836348690382e-93 "0" "VAV3"
"USP36" 1.12969145326656e-94 -0.254697433923334 0.632 0.665 2.25938290653312e-91 "0" "USP36"
"FTH1" 1.78525877491974e-94 -0.467920321342557 0.608 0.619 3.57051754983948e-91 "0" "FTH1"
"HIST1H2AC" 3.55087277617084e-88 -0.251384657676305 0.59 0.646 7.10174555234168e-85 "0" "HIST1H2AC"
"RPL28" 1.23281996595039e-87 -0.317155108670214 0.511 0.546 2.46563993190077e-84 "0" "RPL28"
"CD163" 1.3283216043039e-87 -0.395191853623589 0.408 0.466 2.6566432086078e-84 "0" "CD163"
"LINC02642" 2.46082132094794e-87 0.261951739018655 0.645 0.675 4.92164264189588e-84 "0" "LINC02642"
"CYSLTR1" 1.3280049030822e-85 0.254963681442202 0.591 0.605 2.6560098061644e-82 "0" "CYSLTR1"
"IL15" 1.10380077767479e-81 -0.252917538063391 0.805 0.732 2.20760155534958e-78 "0" "IL15"
"SLC38A6" 6.19294371068083e-66 -0.437701560264538 0.705 0.7 1.23858874213617e-62 "0" "SLC38A6"
"GLUL" 8.28172228175525e-66 -0.280183339757863 0.639 0.671 1.65634445635105e-62 "0" "GLUL"
"ZNF804A" 9.00379673727003e-62 -0.627520028184969 0.77 0.669 1.80075934745401e-58 "0" "ZNF804A"
"XACT" 1.9249095837354e-60 0.323083354235578 0.533 0.53 3.84981916747079e-57 "0" "XACT"
"ABCA1" 5.15225310148891e-60 -0.364589866523501 0.653 0.667 1.03045062029778e-56 "0" "ABCA1"
"XYLT1" 6.88062484185271e-58 -0.495674211441309 0.86 0.872 1.37612496837054e-54 "0" "XYLT1"
"AFF3" 6.91508473144096e-57 -0.486351714069427 0.628 0.658 1.38301694628819e-53 "0" "AFF3"
"PDE4B" 2.13885413400994e-56 -0.361782352304094 0.665 0.691 4.27770826801988e-53 "0" "PDE4B"
"P2RY8" 5.34836500549718e-54 -0.251535622175391 0.648 0.634 1.06967300109944e-50 "0" "P2RY8"
"NRXN1" 3.86110888823154e-50 -0.337459798388735 0.771 0.772 7.72221777646308e-47 "0" "NRXN1"
"UGCG" 6.44879201155173e-49 -0.257207403709444 0.657 0.682 1.28975840231035e-45 "0" "UGCG"
"RASGEF1B" 1.66390699613075e-46 -0.29479855045995 0.715 0.64 3.3278139922615e-43 "0" "RASGEF1B"
"RGL1" 2.43070318418404e-46 -0.388412746341445 0.601 0.638 4.86140636836809e-43 "0" "RGL1"
"AP001636.3" 3.22984956935727e-45 -0.363825160680404 0.643 0.618 6.45969913871453e-42 "0" "AP001636.3"
"MRC1" 2.95626378021336e-43 -0.264674770216636 0.404 0.417 5.91252756042672e-40 "0" "MRC1"
"IFI44L" 3.47095389222971e-41 -0.265926666792595 0.817 0.799 6.94190778445941e-38 "0" "IFI44L"
"PRKCE" 1.50499028617058e-40 -0.406236505101812 0.724 0.72 3.00998057234116e-37 "0" "PRKCE"
"FOS" 1.85510662266491e-37 -0.373880677525327 0.839 0.815 3.71021324532982e-34 "0" "FOS"
"RPS15" 1.00682506450862e-35 -0.323934253442906 0.499 0.465 2.01365012901723e-32 "0" "RPS15"
"ASAP1" 9.48624715343489e-35 -0.40442067434923 0.829 0.816 1.89724943068698e-31 "0" "ASAP1"
"SRGN" 3.59382925327834e-32 -0.507986135473907 0.889 0.849 7.18765850655668e-29 "0" "SRGN"
"SH3PXD2A" 7.2707798116104e-32 -0.52668243028237 0.864 0.816 1.45415596232208e-28 "0" "SH3PXD2A"
"FMNL2" 1.61767912803302e-30 -0.302437446361613 0.931 0.908 3.23535825606605e-27 "0" "FMNL2"
"FTL" 6.29575197943095e-30 -0.653404678765521 0.658 0.639 1.25915039588619e-26 "0" "FTL"
"APOE" 1.55865647602627e-28 -0.301369616650892 0.621 0.623 3.11731295205253e-25 "0" "APOE"
"SCIN" 8.77233607495927e-28 -0.345087803824027 0.631 0.647 1.75446721499185e-24 "0" "SCIN"
"SLC1A2" 2.29826548829387e-27 -0.321943241978081 0.679 0.679 4.59653097658774e-24 "0" "SLC1A2"
"PPARG" 5.927250167541e-27 -0.445941187868251 0.799 0.774 1.1854500335082e-23 "0" "PPARG"
"TNFAIP2" 2.68270254070036e-24 -0.469585317675589 0.833 0.796 5.36540508140072e-21 "0" "TNFAIP2"
"PLXNC1" 3.3377194084691e-24 -0.311787763805445 0.793 0.728 6.6754388169382e-21 "0" "PLXNC1"
